Vehicle, Moves, Counter, Time, Velocity, CVelocity
492,1, 139051, 2591293952.000000, 0.385908, 0.000007
493,1, 59022, 1871395072.000000, 0.534361, 0.000017
494,1, 127450, 2570705152.000000, 0.388998, 0.000008
495,1, 1, 193315840.000000, 5.172882, 1.000000
496,1, 1, 278701056.000000, 3.588074, 1.000000
497,1, 1, 162860032.000000, 6.140242, 1.000000
498,1, 1, 236013824.000000, 4.237040, 1.000000
499,1, 1, 378436864.000000, 2.642449, 1.000000
500,1, 132504, 2292830976.000000, 0.436142, 0.000008
501,1, 420669, 5333444864.000000, 0.187496, 0.000002
502,1, 1, 190228992.000000, 5.256822, 1.000000
503,1, 1, 283476992.000000, 3.527623, 1.000000
504,1, 1, 486885888.000000, 2.053869, 1.000000
505,1, 1, 119172864.000000, 8.391172, 1.000000
506,1, 87075, 2528803840.000000, 0.395444, 0.000011
507,1, 1, 439153920.000000, 2.277106, 1.000000
508,1, 1, 144381952.000000, 6.926073, 1.000000
509,1, 629584, 5827357952.000000, 0.171604, 0.000002
510,1, 1, 174693120.000000, 5.724324, 1.000000
511,1, 23032, 918212096.000000, 1.089073, 0.000043
The LA algorithm took 29940 milliseconds
